Random Target, DT, DT, DT, DT
,2091,10280,10127,153
,2095,10284,10127,157
,1925,10258,10127,131
,2066,10278,10127,151
,2059,10285,10127,158
,2080,10283,10127,156
,2080,10287,10127,160
,2012,10280,10127,153
Avg of 200
,3227,10373,10127,246
,3166,10360,10127,233
,2935,10322,10127,195
,2924,10330,10127,203
,2960,10342,10127,215
,3366,10384,10127,257
,2903,10348,10127,221
,3166,10372,10127,245
,2879,10334,10127,207
,3132,10345,10127,218
Avg of 300
,3988,10408,10127,281
,4077,10430,10127,303
,4194,10439,10127,312
,4284,10447,10127,320
,4242,10453,10127,326
,3946,10428,10127,301
,4380,10455,10127,328
,4227,10443,10127,316
,3940,10419,10127,292
,4340,10451,10127,324
Avg of 400
,5400,10531,10127,404
,5318,10517,10127,390
,4790,10468,10127,341
,5405,10514,10127,387
,5220,10506,10127,379
,5230,10520,10127,393
,5376,10519,10127,392
,5159,10511,10127,384
,5586,10544,10127,417
,5136,10508,10127,381
Avg of 500
,6184,10591,10127,464
,6031,10551,10127,424
,6293,10598,10127,471
,5999,10566,10127,439
,6284,10592,10127,465
,6250,10581,10127,454
,6169,10586,10127,459
,6539,10615,10127,488
,6100,10574,10127,447
,6261,10592,10127,465
Avg of 600
,7018,10644,10127,517
,6821,10637,10127,510
,7833,10715,10127,588
,7017,10649,10127,522
,7225,10667,10127,540
,7368,10669,10127,542
,7303,10657,10127,530
,7506,10681,10127,554
,7354,10677,10127,550
,7719,10703,10127,576
Avg of 700
,7526,10687,10127,560
,8649,10779,10127,652
,8503,10759,10127,632
,7984,10708,10127,581
,8491,10771,10127,644
,8040,10739,10127,612
,8057,10708,10127,581
,8358,10756,10127,629
,7821,10709,10127,582
,8290,10746,10127,619
Avg of 800
,9375,10813,10127,686
,8919,10789,10127,662
,9344,10816,10127,689
,9349,10826,10127,699
,9168,10813,10127,686
,8815,10775,10127,648
,9655,10854,10127,727
,9083,10807,10127,680
,9728,10873,10127,746
,9683,10854,10127,727
Avg of 900
,10692,10939,10127,812
,10523,10902,10127,775
,10647,10920,10127,793
,10544,10898,10127,771
,10497,10907,10127,780
,10280,10898,10127,771
,10416,10926,10127,799
,10409,10900,10127,773
,10112,10893,10127,766
,10875,10938,10127,811
Avg of 1000
Random Target, NB2, NB2, NB2, NB2
,968,10194,10127,67
,1091,10212,10127,85
,1096,10207,10127,80
,1166,10218,10127,91
,1118,10208,10127,81
,1175,10220,10127,93
,946,10195,10127,68
,890,10188,10127,61
,998,10203,10127,76
,1092,10204,10127,77
Avg of 100
,2204,10291,10127,164
,1862,10264,10127,137
,1986,10270,10127,143
,1947,10268,10127,141
,2152,10289,10127,162
,2068,10270,10127,143
,2237,10290,10127,163
,2293,10289,10127,162
,1842,10253,10127,126
,2358,10311,10127,184
Avg of 200
,3063,10361,10127,234
,2963,10348,10127,221
,2965,10344,10127,217
,3234,10372,10127,245
,3451,10375,10127,248
,3571,10400,10127,273
,3113,10344,10127,217
,2989,10348,10127,221
,3402,10390,10127,263
,2838,10333,10127,206
Avg of 300
,4336,10463,10127,336
,3916,10400,10127,273
,3785,10398,10127,271
,4288,10455,10127,328
,4156,10425,10127,298
,4337,10450,10127,323
,4290,10448,10127,321
,4378,10471,10127,344
,4078,10417,10127,290
,4306,10452,10127,325
Avg of 400
,5297,10523,10127,396
,5273,10512,10127,385
,5310,10510,10127,383
,5201,10509,10127,382
,5695,10551,10127,424
,5210,10513,10127,386
,5312,10521,10127,394
,4997,10492,10127,365
,5656,10565,10127,438
,5188,10499,10127,372
Avg of 500
,5906,10574,10127,447
,6542,10607,10127,480
,6260,10603,10127,476
,6212,10601,10127,474
,6532,10603,10127,476
,5879,10570,10127,443
,6296,10590,10127,463
,6233,10576,10127,449
,6330,10590,10127,463
,5804,10548,10127,421
Avg of 600
,7263,10663,10127,536
,7395,10678,10127,551
,7187,10650,10127,523
,7212,10671,10127,544
,7727,10723,10127,596
,7367,10678,10127,551
,7432,10677,10127,550
,7063,10632,10127,505
,7657,10698,10127,571
,7252,10660,10127,533
Avg of 700
,8359,10748,10127,621
,8244,10739,10127,612
,8587,10759,10127,632
,8752,10790,10127,663
,8348,10760,10127,633
,8281,10748,10127,621
,8359,10753,10127,626
,8386,10766,10127,639
,7999,10707,10127,580
,8456,10759,10127,632
Avg of 800
,8842,10758,10127,631
,8817,10783,10127,656
,9307,10827,10127,700
,9506,10868,10127,741
,9400,10836,10127,709
,9540,10840,10127,713
,9559,10852,10127,725
,9365,10817,10127,690
,9824,10887,10127,760
,9380,10823,10127,696
Avg of 900
,10434,10915,10127,788
,10127,10890,10127,763
,10520,10899,10127,772
,10251,10888,10127,761
,10426,10885,10127,758
,10105,10837,10127,710
,10284,10871,10127,744
,10885,10936,10127,809
,10728,10949,10127,822
