Random Walk , DT, DT, DT, DT
,3952,10266,10127,139
,3974,10260,10127,133
,4055,10253,10127,126
,4028,10255,10127,128
,4000,10266,10127,139
,4045,10256,10127,129
,4013,10267,10127,140
,4074,10248,10127,121
,4021,10250,10127,123
,4011,10267,10127,140
Avg of 200
,5923,10362,10127,235
,6023,10354,10127,227
,6010,10345,10127,218
,6066,10326,10127,199
,6030,10326,10127,199
,6043,10336,10127,209
,6049,10364,10127,237
,6004,10335,10127,208
,6016,10316,10127,189
,6068,10345,10127,218
Avg of 300
,7998,10426,10127,299
,8020,10424,10127,297
,7993,10410,10127,283
,7965,10373,10127,246
,7913,10427,10127,300
,8113,10399,10127,272
,7993,10394,10127,267
,8060,10389,10127,262
,8088,10418,10127,291
,7910,10438,10127,311
Avg of 400
,10052,10468,10127,341
,10128,10483,10127,356
,10097,10507,10127,380
,10003,10507,10127,380
,9939,10433,10127,306
,10040,10476,10127,349
,10044,10507,10127,380
,10029,10448,10127,321
,10072,10480,10127,353
,10185,10467,10127,340
Avg of 500
,12019,10527,10127,400
,11948,10492,10127,365
,12134,10487,10127,360
,12043,10544,10127,417
,12033,10531,10127,404
,12080,10532,10127,405
,12044,10559,10127,432
,12059,10561,10127,434
,12124,10522,10127,395
,12052,10497,10127,370
Avg of 600
,14092,10581,10127,454
,13931,10586,10127,459
,14019,10595,10127,468
,14021,10619,10127,492
,14012,10652,10127,525
,13917,10607,10127,480
,13978,10606,10127,479
,14002,10613,10127,486
,13983,10618,10127,491
,14186,10577,10127,450
Avg of 700
,15945,10681,10127,554
,16019,10673,10127,546
,15937,10709,10127,582
,15965,10699,10127,572
,16099,10652,10127,525
,16121,10662,10127,535
,16104,10671,10127,544
,15958,10697,10127,570
,16079,10638,10127,511
,15930,10651,10127,524
Avg of 800
,17949,10731,10127,604
,18032,10721,10127,594
,18087,10724,10127,597
,18052,10749,10127,622
,18063,10716,10127,589
,17911,10775,10127,648
,17911,10811,10127,684
,17926,10799,10127,672
,18059,10739,10127,612
,17936,10724,10127,597
Avg of 900
,20062,10834,10127,707
,19906,10811,10127,684
,19910,10804,10127,677
,20127,10793,10127,666
,19950,10848,10127,721
,19868,10798,10127,671
,19868,10830,10127,703
,19852,10846,10127,719
,20016,10823,10127,696
,19902,10858,10127,731
Avg of 1000
Random Walk , Stack, Stack, Stack
,1786,10276,10127,149
,1769,10287,10127,160
,1787,10275,10127,148
,1733,10286,10127,159
,1813,10279,10127,152
,1873,10268,10127,141
,1796,10284,10127,157
,1761,10267,10127,140
,1880,10271,10127,144
,1781,10277,10127,150
Avg of 100
,3858,10413,10127,286
,3713,10422,10127,295
,3574,10406,10127,279
,3628,10415,10127,288
,3604,10426,10127,299
,3720,10404,10127,277
,3650,10413,10127,286
,3664,10426,10127,299
,3781,10401,10127,274
,3747,10422,10127,295
Avg of 200
,5629,10546,10127,419
,5630,10554,10127,427
,5557,10567,10127,440
,5527,10575,10127,448
,5582,10555,10127,428
,5522,10592,10127,465
,5514,10573,10127,446
,5553,10570,10127,443
,5499,10583,10127,456
,5474,10576,10127,449
Avg of 300
,7422,10684,10127,557
,7413,10674,10127,547
,7482,10705,10127,578
,7378,10726,10127,599
,7498,10705,10127,578
,7284,10709,10127,582
,7497,10698,10127,571
,7512,10722,10127,595
,7127,10717,10127,590
,7419,10707,10127,580
Avg of 400
,9159,10878,10127,751
,9328,10845,10127,718
,9220,10824,10127,697
,9266,10878,10127,751
,9136,10889,10127,762
,9374,10864,10127,737
,9244,10846,10127,719
,9162,10871,10127,744
,9480,10812,10127,685
,9011,10837,10127,710
Avg of 500
,10947,11017,10127,890
,11153,10958,10127,831
,11060,11006,10127,879
,11282,10994,10127,867
,11209,10955,10127,828
,11217,11019,10127,892
,11060,11025,10127,898
